brand,model,form_factor,frequency_response,has_microphone,is_wireless,type,color,price
AKG,K840 KL,Supra-aural,"{'min': 10.0, 'max': 31000.0, 'default': None}",False,False,Closed,Black / Silver,"['USD', '0.00']"
AKG,Q701B,Circumaural,"{'min': 10.0, 'max': 39800.0, 'default': None}",False,False,Open,Black / Green,"['USD', '0.00']"
AKG,Q701WHT,Circumaural,"{'min': 10.0, 'max': 39800.0, 'default': None}",False,False,Open,Black / White,"['USD', '0.00']"
ARCTIC,P253 BT,Supra-aural,"{'min': 18.0, 'max': 22000.0, 'default': None}",True,True,Closed,Black / Silver,"['USD', '0.00']"
ARCTIC,P301,Circumaural,"{'min': 12.0, 'max': 24000.0, 'default': None}",True,False,Closed,Black / Silver,"['USD', '34.95']"
ARCTIC,P311,Supra-aural,"{'min': 18.0, 'max': 22000.0, 'default': None}",False,True,Closed,Black,"['USD', '0.00']"
ARCTIC,P402,Supra-aural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Silver,"['USD', '0.00']"
ARCTIC,P402 BT,Supra-aural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,True,Closed,Black / Silver,"['USD', '0.00']"
ARCTIC,P533 PENTA,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Orange,"['USD', '0.00']"
AZIO,GH808,Circumaural,,True,False,Closed,Black / Red,"['USD', '0.00']"
Acer,Predator Galea 300,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black,"['USD', '44.98']"
Acer,Predator Galea 311,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black,"['USD', '79.99']"
Acer,Predator Galea 350,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black,"['USD', '82.49']"
Acer,Predator Galea 500,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black,"['USD', '199.99']"
Acer,Predator Gaming,Circumaural,"{'min': 10.0, 'max': 28000.0, 'default': None}",True,False,Open,Black,"['USD', '0.00']"
Adesso,Xtream G1,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Blue,"['USD', '40.05']"
Adesso,Xtream G2,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Silver,"['USD', '44.73']"
Adesso,Xtream G3,Circumaural,"{'min': 15.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Blue,"['USD', '46.68']"
Adesso,Xtream G4,Circumaural,"{'min': 20.0, 'max': 2000.0, 'default': None}",True,False,Closed,Black / Silver,"['USD', '47.49']"
Adesso,Xtream H2B,Supra-aural,"{'min': 140.0, 'max': 20000.0, 'default': None}",False,True,Closed,Black / Red,"['USD', '0.00']"
Adesso,Xtream H2W,Supra-aural,"{'min': 140.0, 'max': 20000.0, 'default': None}",False,True,Closed,Green / White,"['USD', '0.00']"
Adesso,Xtream H3B,Circumaural,,False,False,Closed,Black / Gray,"['USD', '0.00']"
Adesso,Xtream H3W,Circumaural,"{'min': 100.0, 'max': 20000.0, 'default': None}",False,True,Closed,Black / White,"['USD', '0.00']"
Adesso,Xtream H4,Supra-aural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black,"['USD', '12.23']"
Adesso,Xtream H5,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black,"['USD', '18.05']"
Altec Lansing,021986802631,Earbud,"{'min': 20.0, 'max': 20000.0, 'default': None}",False,False,Closed,Gray / White,"['USD', '14.95']"
Altec Lansing,021986802662,Earbud,"{'min': 20.0, 'max': 20000.0, 'default': None}",False,False,Closed,Black / Gray,"['USD', '14.95']"
Altec Lansing,Foldable OTH,Supra-aural,,False,True,Closed,Red / White,"['USD', '0.00']"
Altec Lansing,MZX106W,In Ear,"{'min': 20.0, 'max': 20000.0, 'default': None}",False,False,Closed,White / Black,"['USD', '14.95']"
Altec Lansing,MZX2051S,In Ear,"{'min': 100.0, 'max': 5000.0, 'default': None}",True,False,Closed,Black,"['USD', '24.01']"
Altec Lansing,MZX436P,In Ear,,False,False,Closed,Pink,"['USD', '0.00']"
Altec Lansing,MZX436R,In Ear,,False,False,Closed,Pink / Black,"['USD', '66.66']"
Altec Lansing,MZX736,In Ear,"{'min': 20.0, 'max': 20000.0, 'default': None}",False,False,Closed,Blue / White,"['USD', '0.00']"
Altec Lansing,MZX736B,In Ear,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Blue / Black,"['USD', '0.00']"
Altec Lansing,MZX736W,In Ear,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Blue / Black,"['USD', '34.99']"
Antec,761345740005,In Ear,,False,False,Closed,Black,"['USD', '0.00']"
Antec,761345740012,In Ear,,False,False,Closed,White / Pink,"['USD', '0.00']"
Antec,761345740029,In Ear,,False,False,Closed,Silver,"['USD', '0.00']"
Antec,761345740036,In Ear,,False,False,Closed,Green,"['USD', '0.00']"
Antec,761345740043,In Ear,,False,False,Closed,Gray,"['USD', '0.00']"
Antec,BXH-100 BLK,In Ear,"{'min': 20.0, 'max': 20000.0, 'default': None}",False,False,Closed,Black / Red,"['USD', '0.00']"
Antec,BXH-100 GRN,In Ear,"{'min': 20.0, 'max': 20000.0, 'default': None}",False,False,Closed,Green / White,"['USD', '0.00']"
Antec,BXH-100 GRY,In Ear,"{'min': 20.0, 'max': 20000.0, 'default': None}",False,False,Closed,Black / Gray,"['USD', '0.00']"
Antec,BXH-100 SIL,In Ear,"{'min': 20.0, 'max': 20000.0, 'default': None}",False,False,Closed,Silver,"['USD', '0.00']"
Antec,BXH-100 WHI,In Ear,"{'min': 20.0, 'max': 20000.0, 'default': None}",False,False,Closed,White / Purple,"['USD', '0.00']"
Apple,AirPods Pro,Earbud,,True,True,Closed,White,"['USD', '199.99']"
Apple,MB770G,Earbud,,True,False,Closed,White,"['USD', '0.00']"
Apple,MD827LL/A,Earbud,,True,False,Closed,White,"['USD', '14.35']"
Astro,3AS50-EAW9F-319,Circumaural,,True,True,Closed,Black / Orange,"['USD', '0.00']"
Astro,A30,Supra-aural,"{'min': 15.0, 'max': 28000.0, 'default': None}",True,False,Closed,Black / White,"['USD', '0.00']"
Astro,A30,Supra-aural,"{'min': 15.0, 'max': 28000.0, 'default': None}",True,False,Closed,Black,"['USD', '0.00']"
Astro,A30,Supra-aural,"{'min': 15.0, 'max': 28000.0, 'default': None}",True,False,Closed,Black / Red,"['USD', '0.00']"
Astro,A30,Supra-aural,"{'min': 15.0, 'max': 28000.0, 'default': None}",True,False,Closed,Black / Red,"['USD', '189.00']"
Astro,A38,Supra-aural,"{'min': 15.0, 'max': 20000.0, 'default': None}",True,True,Closed,White,"['USD', '22.49']"
Astro,A38,Supra-aural,"{'min': 15.0, 'max': 20000.0, 'default': None}",True,True,Closed,Black / Blue,"['USD', '42.99']"
Astro,A40,Circumaural,"{'min': 20.0, 'max': 21000.0, 'default': None}",True,False,Closed,Orange / White,"['USD', '0.00']"
Astro,A40,Circumaural,"{'min': 15.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black,"['USD', '325.00']"
Astro,A40,Circumaural,"{'min': 15.0, 'max': 28000.0, 'default': None}",True,False,Closed,Black / White,"['USD', '0.00']"
Astro,A40,Circumaural,"{'min': 20.0, 'max': 21000.0, 'default': None}",True,False,Closed,Black / Silver,"['USD', '0.00']"
Astro,A40,Circumaural,"{'min': 15.0, 'max': 28000.0, 'default': None}",True,False,Closed,Black,"['USD', '0.00']"
Astro,A40 + MIXAMP Pro,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black,"['USD', '245.00']"
Astro,A40 + MixAmp Pro - Black,Circumaural,"{'min': 15.0, 'max': 28000.0, 'default': None}",True,False,Closed,Black / White,"['USD', '0.00']"
Astro,A40 + MixAmp Pro - White,Circumaural,"{'min': 15.0, 'max': 28000.0, 'default': None}",True,False,Closed,Black / White,"['USD', '0.00']"
Astro,A40 TR,Circumaural,"{'min': 20.0, 'max': 24000.0, 'default': None}",True,False,Open,Black,"['USD', '0.00']"
Astro,A50,Circumaural,"{'min': 20.0, 'max': 21000.0, 'default': None}",True,True,Closed,Black / Blue,"['USD', '0.00']"
Astro,A50 + Base Station PS4,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,True,Closed,Black / Green,"['USD', '0.00']"
Astro,A50 + Base Station XB1,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,True,Closed,Black / Blue,"['USD', '392.14']"
Astro,A50 - Black,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,True,Closed,Black,"['USD', '0.00']"
Astro,A50 PS4 4th Gen + Base Station,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,True,Closed,Black,"['USD', '0.00']"
Astro,A50 Xbox 4th Gen + Base Station,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,True,Closed,Black,"['USD', '0.00']"
Astro,Gaming A10,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Green,"['USD', '49.00']"
Astro,Gaming A10,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Red,"['USD', '59.99']"
Astro,Gaming A10,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Blue,"['USD', '49.00']"
Astro,Gaming A20 Call of Duty,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,True,Closed,Silver / Black,"['USD', '139.99']"
Astro,Gaming A40 TR + MixAmp Pro TR,Circumaural,"{'min': 20.0, 'max': 24000.0, 'default': None}",True,False,Closed,White / Gray,"['USD', '249.99']"
Astro,Gaming A40 TR + MixAmp Pro TR,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,White / Gray,"['USD', '249.99']"
Astro,Gaming A40 TR + MixAmp Pro TR,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Gold,"['USD', '245.00']"
Astro,Gaming A50 + Base Station,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,True,Closed,Green / Black,"['USD', '239.99']"
Asus,CINEVIBE/BLK,Supra-aural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Red,"['USD', '0.00']"
Asus,HS-W1,Supra-aural,,True,True,Closed,Black,"['USD', '0.00']"
Asus,NC1/BLK/ALW/AS,Supra-aural,"{'min': 16.0, 'max': 22000.0, 'default': None}",False,False,Closed,Black,"['USD', '0.00']"
Asus,Orion,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Red,"['USD', '79.99']"
Asus,Orion Pro,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Red,"['USD', '0.00']"
Asus,ROG CENTURION,Circumaural,,True,False,Closed,Black,"['USD', '0.00']"
Asus,ROG Delta,Circumaural,"{'min': 20.0, 'max': 40000.0, 'default': None}",True,False,Closed,Black / Silver,"['USD', '141.99']"
Asus,ROG Delta Core,Circumaural,"{'min': 20.0, 'max': 40000.0, 'default': None}",True,False,Closed,Black,"['USD', '83.49']"
Asus,ROG Delta White Edition,Circumaural,"{'min': 20.0, 'max': 40000.0, 'default': None}",True,False,Closed,White,"['USD', '149.99']"
Asus,ROG STRIX FUSION 700,Circumaural,"{'min': 20.0, 'max': 40000.0, 'default': None}",True,True,Closed,Black,"['USD', '229.94']"
Asus,ROG Strix Fusion 300,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Pink / White,"['USD', '0.00']"
Asus,ROG Strix Fusion Wireless,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,True,Closed,Black,"['USD', '192.99']"
Asus,ROG Strix Wireless,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,True,Closed,Black / Red,"['USD', '0.00']"
Asus,ROG Theta 7.1,Circumaural,"{'min': 20.0, 'max': 40000.0, 'default': None}",True,False,Closed,Black,"['USD', '299.99']"
Asus,STRIX 7.1,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Orange,"['USD', '0.00']"
Asus,STRIX DSP,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Orange,"['USD', '0.00']"
Asus,STRIX PRO,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Orange,"['USD', '109.00']"
Asus,TUF Gaming H3,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black,"['USD', '39.99']"
Asus,TUF Gaming H5,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Gold,"['USD', '176.84']"
Asus,Vulcan Pro,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Red,"['USD', '0.00']"
Audeze,LCD-GX,Circumaural,"{'min': 10.0, 'max': 50000.0, 'default': None}",True,False,Open,Black / Red,"['USD', '899.00']"
Audeze,Mobius,Circumaural,"{'min': 10.0, 'max': 50000.0, 'default': None}",True,True,Closed,Brown / Black,"['USD', '0.00']"
Audeze,Mobius,Circumaural,"{'min': 10.0, 'max': 50000.0, 'default': None}",True,True,Closed,Black,"['USD', '399.00']"
Audeze,Mobius,Circumaural,"{'min': 10.0, 'max': 50000.0, 'default': None}",True,True,Closed,Blue / Black,"['USD', '0.00']"
Audio-Technica,42005169863,Earbud,"{'min': 16.0, 'max': 23000.0, 'default': None}",False,False,Closed,Brown / Black,"['USD', '0.00']"
Audio-Technica,ATH-A500X,Circumaural,"{'min': 5.0, 'max': 30000.0, 'default': None}",False,False,Closed,Black,"['USD', '0.00']"
Audio-Technica,ATH-A700,Circumaural,"{'min': 5.0, 'max': 35000.0, 'default': None}",False,False,Closed,Black,"['USD', '0.00']"
Audio-Technica,ATH-A700X,Circumaural,"{'min': 5.0, 'max': 35000.0, 'default': None}",True,False,Closed,Black / Blue,"['USD', '0.00']"
Audio-Technica,ATH-A900X,Circumaural,"{'min': 5.0, 'max': 40000.0, 'default': None}",False,False,Closed,Black,"['USD', '0.00']"
Audio-Technica,ATH-AD1000X,Circumaural,"{'min': 5.0, 'max': 40000.0, 'default': None}",False,False,Open,Black,"['USD', '0.00']"
Audio-Technica,ATH-AD2000X,Circumaural,"{'min': 5.0, 'max': 45000.0, 'default': None}",False,False,Open,Black,"['USD', '706.55']"
Audio-Technica,ATH-AD500X,Circumaural,"{'min': 5.0, 'max': 25000.0, 'default': None}",False,False,Open,Black,"['USD', '89.99']"
Audio-Technica,ATH-AD700,Circumaural,"{'min': 5.0, 'max': 30000.0, 'default': None}",False,False,Open,Purple,"['USD', '0.00']"
Audio-Technica,ATH-AD700X,Circumaural,"{'min': 5.0, 'max': 30000.0, 'default': None}",False,False,Open,Black,"['USD', '119.99']"
Audio-Technica,ATH-AD900x,Circumaural,"{'min': 5.0, 'max': 35000.0, 'default': None}",False,False,Open,Black,"['USD', '133.99']"
Audio-Technica,ATH-ADG1,Circumaural,"{'min': 5.0, 'max': 30000.0, 'default': None}",True,False,Open,Black / Red,"['USD', '0.00']"
Audio-Technica,ATH-ADG1X,Circumaural,"{'min': 5.0, 'max': 35000.0, 'default': None}",True,False,Open,Black / Blue,"['USD', '0.00']"
Audio-Technica,ATH-AG1,Circumaural,"{'min': 5.0, 'max': 35000.0, 'default': None}",True,False,Closed,Black / Gold,"['USD', '0.00']"
Audio-Technica,ATH-ANC23,In Ear,"{'min': 20.0, 'max': 20000.0, 'default': None}",False,False,Closed,Black / Silver,"['USD', '0.00']"
Audio-Technica,ATH-ANC23BK,In Ear,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Gray,"['USD', '29.95']"
Audio-Technica,ATH-ANC25,Supra-aural,,False,False,Closed,Black / Gray,"['USD', '0.00']"
Audio-Technica,ATH-ANC27,Circumaural,,False,False,Closed,Black,"['USD', '79.00']"
Audio-Technica,ATH-ANC27X,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",False,False,Closed,Black,"['USD', '79.95']"
Audio-Technica,ATH-ANC7B,Circumaural,"{'min': 10.0, 'max': 25000.0, 'default': None}",False,False,Closed,Black,"['USD', '0.00']"
Audio-Technica,ATH-ANC9,Circumaural,"{'min': 10.0, 'max': 25000.0, 'default': None}",False,False,Closed,Black,"['USD', '199.00']"
Audio-Technica,ATH-CHX5ISBK,Earbud,"{'min': 20.0, 'max': 22000.0, 'default': None}",True,False,Closed,Black,"['USD', '45.48']"
Audio-Technica,ATH-CHX5ISBL,Earbud,"{'min': 20.0, 'max': 22000.0, 'default': None}",True,False,Closed,Blue,"['USD', '0.00']"
Audio-Technica,ATH-CHX5ISRD,Earbud,"{'min': 20.0, 'max': 22000.0, 'default': None}",True,False,Closed,Red,"['USD', '0.00']"
Audio-Technica,ATH-CHX5ISWH,Earbud,"{'min': 20.0, 'max': 22000.0, 'default': None}",True,False,Closed,White,"['USD', '39.72']"
Audio-Technica,ATH-CHX7ISBK,Earbud,"{'min': 15.0, 'max': 22000.0, 'default': None}",True,False,Closed,Black,"['USD', '0.00']"
Audio-Technica,ATH-CHX7ISRD,Earbud,"{'min': 15.0, 'max': 22000.0, 'default': None}",True,False,Closed,Red,"['USD', '0.00']"
Audio-Technica,ATH-CHX7ISWH,Earbud,"{'min': 15.0, 'max': 22000.0, 'default': None}",True,False,Closed,White,"['USD', '0.00']"
Audio-Technica,ATH-CK313IBGR,In Ear,"{'min': 20.0, 'max': 23000.0, 'default': None}",True,False,Closed,Multicolor,"['USD', '0.00']"
Audio-Technica,ATH-CK313IBK,In Ear,"{'min': 20.0, 'max': 23000.0, 'default': None}",True,False,Closed,Black,"['USD', '0.00']"
Audio-Technica,ATH-CK313IBL,In Ear,"{'min': 20.0, 'max': 23000.0, 'default': None}",True,False,Closed,Black / Blue,"['USD', '0.00']"
Audio-Technica,ATH-CK313IRD,In Ear,"{'min': 20.0, 'max': 23000.0, 'default': None}",True,False,Closed,Black / Blue,"['USD', '0.00']"
Audio-Technica,ATH-CK313IRD,In Ear,"{'min': 20.0, 'max': 23000.0, 'default': None}",True,False,Closed,Red / Black,"['USD', '0.00']"
Audio-Technica,ATH-CK313IWH,In Ear,"{'min': 20.0, 'max': 23000.0, 'default': None}",True,False,Closed,White / Black,"['USD', '0.00']"
Audio-Technica,ATH-CK313MBGK,In Ear,"{'min': 20.0, 'max': 23000.0, 'default': None}",True,False,Closed,Black,"['USD', '0.00']"
Audio-Technica,ATH-CK313MBGR,In Ear,"{'min': 20.0, 'max': 23000.0, 'default': None}",True,False,Closed,Black / Green,"['USD', '0.00']"
Audio-Technica,ATH-CK313MBL,In Ear,"{'min': 20.0, 'max': 23000.0, 'default': None}",True,False,Closed,Black,"['USD', '0.00']"
Audio-Technica,ATH-CK313MBPK,In Ear,"{'min': 20.0, 'max': 23000.0, 'default': None}",True,False,Closed,Pink / Black,"['USD', '10.99']"
Audio-Technica,ATH-CK313MBRD,In Ear,"{'min': 20.0, 'max': 23000.0, 'default': None}",True,False,Closed,Black / Red,"['USD', '0.00']"
Audio-Technica,ATH-CK313MBW,In Ear,"{'min': 20.0, 'max': 23000.0, 'default': None}",True,False,Closed,Brown / Black,"['USD', '0.00']"
Audio-Technica,ATH-CK313MPK,In Ear,"{'min': 20.0, 'max': 23000.0, 'default': None}",True,False,Closed,Pink / Black,"['USD', '10.99']"
Audio-Technica,ATH-CK313MRD,In Ear,"{'min': 20.0, 'max': 23000.0, 'default': None}",True,False,Closed,Red / Black,"['USD', '0.00']"
Audio-Technica,ATH-CK313MSV,In Ear,"{'min': 20.0, 'max': 23000.0, 'default': None}",True,False,Closed,Silver / Black,"['USD', '0.00']"
